Company,MSE,MAE,R2,MAPE
ABRA.TA,110.0753552,8.812781977,0.721305395,0.032568822
ACCL.TA,10.9167793,2.528222247,0.958359987,0.020894548
ACKR.TA,13163.81017,80.98752039,-0.010435741,0.115320955
ACRO.TA,38396.40716,136.4125446,0.859540066,0.028128903
ADGR.TA,685.7004284,21.17907243,0.638218786,0.044880274
ARDM.TA,24.55628699,3.639893478,0.936238898,0.06500193
AFHL.TA,210204.8755,354.0197297,0.957399194,0.034339805
AFPR.TA,340471.4719,446.3232184,-0.483882809,0.026975352
AFRE.TA,9051312.003,2121.626937,-0.583628986,0.080840085
AICS-M.TA,99114.03607,167.4349262,-0.344247731,1.056016506
ARPT.TA,37454.755,163.6579332,0.509771922,0.028827055
ARTS.TA,1188.743042,27.66672021,-26.85838981,0.731459495
ALAR.TA,46523.0302,151.8474014,0.59380295,0.219063455
ALBA.TA,19276.02281,108.8250633,0.649429401,0.068996524
ALMD.TA,2.788447673,1.343221447,0.659516662,0.037080555
ALLT.TA,22489.67839,102.4761323,0.690753145,0.076786146
ALMY.TA,96246.76584,253.4777982,0.58156331,11.6873652
ALMA.TA,18039.84762,89.82202555,-0.075811518,0.094311047
ALHE.TA,50756.05746,141.5262084,-0.040678388,0.049220617
ALRPR.TA,1269313.247,932.1777423,0.571124077,0.063940639
ALUMA.TA,112.9112692,8.087857457,-4.210221313,0.208655733
AMAN.TA,1337.561416,29.16668354,0.318571662,0.018891586
AMD.TA,20921.25183,101.6794195,-38.8335269,0.1110401
AMRK.TA,12233.74844,88.58214439,0.756136352,0.033296454
ABRA.TA,84.71392098,7.61053963,0.785516815,0.027954152
ACCL.TA,8.745045802,1.766280446,0.966643658,0.015539042
ACKR.TA,13708.67445,78.1564116,-0.052258765,0.108354606
ACRO.TA,52123.8448,176.0712784,0.809322998,0.034937496
ADGR.TA,383.0488758,16.91566182,0.797900247,0.036147315
ARDM.TA,26.11244438,4.036909367,0.932198291,0.079096549
AFHL.TA,252649.6743,369.5913046,0.948797193,0.034497276
AFPR.TA,454328.8244,561.325624,-0.980109313,0.033464521
AFRE.TA,7992455.914,2010.125032,-0.398370187,0.076575288
AICS-M.TA,98902.52001,167.1641632,-0.341379015,0.81154286
ARPT.TA,58831.25414,204.3849681,0.229984747,0.035820725
ARTS.TA,345.1792779,13.20058206,-7.089333474,0.375989306
ALAR.TA,47575.34671,177.0058663,0.584615073,0.299723498
ALBA.TA,9421.479661,78.31675757,0.828652736,0.050611732
ALMD.TA,1.433985641,0.85460669,0.824903217,0.023377581
ALLT.TA,44793.1022,196.3273241,0.384067404,0.15747785
ALMY.TA,89527.77969,220.822665,0.610774372,10.91456835
ALMA.TA,16795.19059,85.46139476,-0.001586037,0.089244466
ALHE.TA,68370.89755,201.3292881,-0.401844805,0.069564375
ALRPR.TA,788452.0825,719.9057181,0.733597585,0.051630501
ALUMA.TA,104.1570512,7.991555846,-3.806263288,0.207491758
AMAN.TA,1168.781362,26.3888525,0.404557629,0.016934065
AMD.TA,13279.08434,72.22866896,-24.283036,0.079064637
AMRK.TA,6351.151009,62.95576092,0.873398177,0.02395677
